rank,disease,severity,directional_equity_score,aggregate_ceg,max_ceg,n_edges,n_majority_evidenced,n_minority_evidenced,representation_deficit,rationale
18,hidradenitis,mild,0.0000,0.0041,0.0041,1,1,1,0.000,"1 edges, 1 with majority (I-III) evidence, 1 with minority (IV-VI) evidence; majority post mean 0.95, minority post mean 0.94 → directional=0.00 (minority underserved)."
19,epidermolysis bullosa simplex,mild,0.0000,0.0041,0.0041,1,1,1,0.000,"1 edges, 1 with majority (I-III) evidence, 1 with minority (IV-VI) evidence; majority post mean 0.56, minority post mean 0.55 → directional=0.00 (minority underserved)."
20,granuloma annulare,mild,0.0000,0.0035,0.0036,21,21,21,0.000,"21 edges, 21 with majority (I-III) evidence, 21 with minority (IV-VI) evidence; majority post mean 0.94, minority post mean 0.93 → directional=0.00 (minority underserved)."
21,myiasis,mild,0.0000,0.0074,0.0075,6,6,6,0.000,"6 edges, 6 with majority (I-III) evidence, 6 with minority (IV-VI) evidence; majority post mean 0.74, minority post mean 0.74 → directional=0.00 (minority underserved)."
22,tuberous sclerosis,mild,0.0000,0.0019,0.0019,1,1,1,0.000,"1 edges, 1 with majority (I-III) evidence, 1 with minority (IV-VI) evidence; majority post mean 0.95, minority post mean 0.95 → directional=0.00 (minority underserved)."
23,herpes labialis,mild,0.0000,0.0011,0.0011,3,3,3,0.000,"3 edges, 3 with majority (I-III) evidence, 3 with minority (IV-VI) evidence; majority post mean 0.87, minority post mean 0.86 → directional=0.00 (minority underserved)."
24,seborrheic dermatitis,mild,0.0000,0.0019,0.0019,36,36,36,0.000,"36 edges, 36 with majority (I-III) evidence, 36 with minority (IV-VI) evidence; majority post mean 0.92, minority post mean 0.92 → directional=0.00 (minority underserved)."
25,bullous pemphigoid,mild,0.0000,0.0012,0.0012,9,9,9,0.000,"9 edges, 9 with majority (I-III) evidence, 9 with minority (IV-VI) evidence; majority post mean 0.58, minority post mean 0.58 → directional=0.00 (minority underserved)."
26,folliculitis,mild,0.0000,0.0040,0.0040,2,2,2,0.000,"2 edges, 2 with majority (I-III) evidence, 2 with minority (IV-VI) evidence; majority post mean 0.74, minority post mean 0.74 → directional=0.00 (minority underserved)."
27,psoriasis,mild,0.0000,0.0015,0.0016,20,20,20,0.000,"20 edges, 20 with majority (I-III) evidence, 20 with minority (IV-VI) evidence; majority post mean 0.90, minority post mean 0.90 → directional=0.00 (minority underserved)."
28,lupus erythematosus,mild,0.0000,0.0003,0.0003,22,22,22,0.000,"22 edges, 22 with majority (I-III) evidence, 22 with minority (IV-VI) evidence; majority post mean 0.92, minority post mean 0.92 → directional=0.00 (minority underserved)."
29,lichen planus,mild,0.0000,0.0000,0.0000,4,4,4,0.000,"4 edges, 4 with majority (I-III) evidence, 4 with minority (IV-VI) evidence; majority post mean 0.63, minority post mean 0.63 → directional=0.00 (minority underserved)."
30,discoid lupus erythematosus,mild,0.0000,0.0000,0.0000,22,22,22,0.000,"22 edges, 22 with majority (I-III) evidence, 22 with minority (IV-VI) evidence; majority post mean 0.88, minority post mean 0.88 → directional=0.00 (balanced)."
31,keloid,mild,-0.0000,0.0000,0.0000,3,3,3,0.000,"3 edges, 3 with majority (I-III) evidence, 3 with minority (IV-VI) evidence; majority post mean 0.95, minority post mean 0.95 → directional=-0.00 (majority underserved)."
32,alopecia areata,mild,-0.0000,0.0002,0.0002,3,3,3,0.000,"3 edges, 3 with majority (I-III) evidence, 3 with minority (IV-VI) evidence; majority post mean 0.67, minority post mean 0.67 → directional=-0.00 (majority underserved)."
33,scabies,mild,-0.0000,0.0008,0.0008,5,5,5,0.000,"5 edges, 5 with majority (I-III) evidence, 5 with minority (IV-VI) evidence; majority post mean 0.96, minority post mean 0.96 → directional=-0.00 (majority underserved)."
34,epidermolysis bullosa,mild,-0.0000,0.0024,0.0024,1,1,1,0.000,"1 edges, 1 with majority (I-III) evidence, 1 with minority (IV-VI) evidence; majority post mean 0.53, minority post mean 0.54 → directional=-0.00 (majority underserved)."
35,herpes zoster,mild,-0.0000,0.0020,0.0020,3,3,3,0.000,"3 edges, 3 with majority (I-III) evidence, 3 with minority (IV-VI) evidence; majority post mean 0.93, minority post mean 0.93 → directional=-0.00 (majority underserved)."
36,neurofibromatosis,mild,-0.0000,0.0045,0.0045,1,1,1,0.000,"1 edges, 1 with majority (I-III) evidence, 1 with minority (IV-VI) evidence; majority post mean 0.95, minority post mean 0.96 → directional=-0.00 (majority underserved)."
37,vitiligo,mild,-0.0001,0.0119,0.0119,2,2,2,0.000,"2 edges, 2 with majority (I-III) evidence, 2 with minority (IV-VI) evidence; majority post mean 0.96, minority post mean 0.97 → directional=-0.00 (majority underserved)."
38,tinea corporis,mild,-0.0001,0.0138,0.0141,24,24,24,0.000,"24 edges, 24 with majority (I-III) evidence, 24 with minority (IV-VI) evidence; majority post mean 0.93, minority post mean 0.94 → directional=-0.00 (majority underserved)."
39,ecthyma,mild,-0.0002,0.0141,0.0141,2,2,2,0.000,"2 edges, 2 with majority (I-III) evidence, 2 with minority (IV-VI) evidence; majority post mean 0.57, minority post mean 0.58 → directional=-0.00 (majority underserved)."
40,acrodermatitis enteropathica,mild,-0.0003,0.0247,0.0247,3,3,3,0.000,"3 edges, 3 with majority (I-III) evidence, 3 with minority (IV-VI) evidence; majority post mean 0.53, minority post mean 0.54 → directional=-0.00 (majority underserved)."
41,tinea manuum,mild,-0.0003,0.0491,0.0504,2,2,2,0.000,"2 edges, 2 with majority (I-III) evidence, 2 with minority (IV-VI) evidence; majority post mean 0.73, minority post mean 0.74 → directional=-0.00 (majority underserved)."
42,contact dermatitis,mild,-0.0004,0.0263,0.0271,25,25,25,0.000,"25 edges, 25 with majority (I-III) evidence, 25 with minority (IV-VI) evidence; majority post mean 0.92, minority post mean 0.94 → directional=-0.00 (majority underserved)."
43,impetigo,mild,-0.0004,0.0215,0.0215,3,3,3,0.000,"3 edges, 3 with majority (I-III) evidence, 3 with minority (IV-VI) evidence; majority post mean 0.91, minority post mean 0.93 → directional=-0.00 (majority underserved)."
44,lyme disease,mild,-0.0005,0.0463,0.0464,10,10,10,0.000,"10 edges, 10 with majority (I-III) evidence, 10 with minority (IV-VI) evidence; majority post mean 0.57, minority post mean 0.58 → directional=-0.00 (majority underserved)."
45,mycetoma,mild,-0.0007,0.0789,0.0819,2,2,2,0.000,"2 edges, 2 with majority (I-III) evidence, 2 with minority (IV-VI) evidence; majority post mean 0.72, minority post mean 0.73 → directional=-0.00 (majority underserved)."
46,tinea pedis,mild,-0.0012,0.0420,0.0442,25,25,25,0.000,"25 edges, 25 with majority (I-III) evidence, 25 with minority (IV-VI) evidence; majority post mean 0.88, minority post mean 0.91 → directional=-0.00 (majority underserved)."
47,oral candidiasis,mild,-0.0012,0.0351,0.0351,7,7,7,0.000,"7 edges, 7 with majority (I-III) evidence, 7 with minority (IV-VI) evidence; majority post mean 0.86, minority post mean 0.90 → directional=-0.00 (majority underserved)."
48,palmoplantar keratoderma,mild,-0.0060,0.2232,0.2315,3,3,3,0.000,"3 edges, 3 with majority (I-III) evidence, 3 with minority (IV-VI) evidence; majority post mean 0.78, minority post mean 0.81 → directional=-0.01 (majority underserved)."
49,mongolian spot,moderate,-0.0287,0.2742,0.2742,2,2,0,1.000,"2 edges, 2 with majority (I-III) evidence, 0 with minority (IV-VI) evidence; majority post mean 0.58, minority post mean 0.69 → directional=-0.03 (majority underserved)."
50,white piedra,moderate,-0.0504,0.5388,0.6169,7,0,7,-6.000,"7 edges, 0 with majority (I-III) evidence, 7 with minority (IV-VI) evidence; majority post mean 0.69, minority post mean 0.78 → directional=-0.05 (majority underserved)."
51,erythrasma,moderate,-0.0580,0.5328,0.6169,13,0,13,-12.000,"13 edges, 0 with majority (I-III) evidence, 13 with minority (IV-VI) evidence; majority post mean 0.69, minority post mean 0.80 → directional=-0.06 (majority underserved)."
52,angioedema,moderate,-0.0801,0.6025,0.7060,43,0,43,-42.000,"43 edges, 0 with majority (I-III) evidence, 43 with minority (IV-VI) evidence; majority post mean 0.69, minority post mean 0.82 → directional=-0.08 (majority underserved)."
53,cutaneous larva migrans,moderate,-0.0877,0.5076,0.5076,1,0,1,0.000,"1 edges, 0 with majority (I-III) evidence, 1 with minority (IV-VI) evidence; majority post mean 0.69, minority post mean 0.86 → directional=-0.09 (majority underserved)."
54,keratoacanthoma,moderate,-0.0877,0.5076,0.5076,6,0,6,-5.000,"6 edges, 0 with majority (I-III) evidence, 6 with minority (IV-VI) evidence; majority post mean 0.69, minority post mean 0.86 → directional=-0.09 (majority underserved)."
55,epidermodysplasia verruciformis,moderate,-0.1048,0.5823,0.5823,1,0,1,0.000,"1 edges, 0 with majority (I-III) evidence, 1 with minority (IV-VI) evidence; majority post mean 0.69, minority post mean 0.87 → directional=-0.10 (majority underserved)."
56,syphilis,moderate,-0.1601,0.8112,0.8112,11,0,11,-10.000,"11 edges, 0 with majority (I-III) evidence, 11 with minority (IV-VI) evidence; majority post mean 0.69, minority post mean 0.89 → directional=-0.16 (majority underserved)."
