rank,type,extrapolation_confidence,disease,drug,relation,target_subgroup,expected_information_gain,cost,eig_per_cost,equity_gain,post_mean_majority,post_mean_minority,rationale
29,A,1.000,langerhans cell histiocytosis,vinblastine,indication,IV-VI,0.7752,6.25,0.1240,0.7752,0.947,0.909,"Type A: majority evidence weight 7.9, minority 3.9 (49% of majority). Approved indication, under-tested in IV-VI."
30,A,1.000,langerhans cell histiocytosis,vincristine,indication,IV-VI,0.7752,6.25,0.1240,0.7752,0.947,0.909,"Type A: majority evidence weight 7.9, minority 3.9 (49% of majority). Approved indication, under-tested in IV-VI."
31,A,1.000,rosacea,azelaic acid,indication,IV-VI,0.7273,5.26,0.1382,0.7273,0.953,0.919,"Type A: majority evidence weight 9.1, minority 4.6 (51% of majority). Approved indication, under-tested in IV-VI."
32,A,1.000,rosacea,brimonidine,indication,IV-VI,0.7273,5.26,0.1382,0.7273,0.953,0.919,"Type A: majority evidence weight 9.1, minority 4.6 (51% of majority). Approved indication, under-tested in IV-VI."
33,A,1.000,rosacea,fluorometholone,indication,IV-VI,0.7273,5.26,0.1382,0.7273,0.953,0.919,"Type A: majority evidence weight 9.1, minority 4.6 (51% of majority). Approved indication, under-tested in IV-VI."
34,A,1.000,rosacea,fusidic acid,indication,IV-VI,0.7273,5.26,0.1382,0.7273,0.953,0.919,"Type A: majority evidence weight 9.1, minority 4.6 (51% of majority). Approved indication, under-tested in IV-VI."
35,A,1.000,rosacea,loteprednol etabonate,indication,IV-VI,0.7273,5.26,0.1382,0.7273,0.953,0.919,"Type A: majority evidence weight 9.1, minority 4.6 (51% of majority). Approved indication, under-tested in IV-VI."
36,A,1.000,rosacea,medrysone,indication,IV-VI,0.7273,5.26,0.1382,0.7273,0.953,0.919,"Type A: majority evidence weight 9.1, minority 4.6 (51% of majority). Approved indication, under-tested in IV-VI."
37,A,1.000,rosacea,metronidazole,indication,IV-VI,0.7273,5.26,0.1382,0.7273,0.953,0.919,"Type A: majority evidence weight 9.1, minority 4.6 (51% of majority). Approved indication, under-tested in IV-VI."
38,A,1.000,rosacea,tobramycin,indication,IV-VI,0.7273,5.26,0.1382,0.7273,0.953,0.919,"Type A: majority evidence weight 9.1, minority 4.6 (51% of majority). Approved indication, under-tested in IV-VI."
39,A,1.000,lyme disease,cefuroxime,indication,IV-VI,0.6679,3.85,0.1736,0.6679,0.955,0.931,"Type A: majority evidence weight 9.5, minority 5.7 (60% of majority). Approved indication, under-tested in IV-VI."
40,C,0.400,alopecia areata,hydrocortisone acetate,indication,IV-VI,1.3419,2.04,0.6576,0.5368,0.688,0.688,Type C: drug-class analogy from triamcinolone (class=D07A). Hypothesis only — class membership ≠ identical efficacy.
41,C,0.400,alopecia areata,dexamethasone,indication,IV-VI,1.3419,2.04,0.6576,0.5368,0.688,0.688,Type C: drug-class analogy from triamcinolone (class=D07A). Hypothesis only — class membership ≠ identical efficacy.
42,C,0.400,alopecia areata,fluticasone propionate,indication,IV-VI,1.3419,2.04,0.6576,0.5368,0.688,0.688,Type C: drug-class analogy from triamcinolone (class=D07A). Hypothesis only — class membership ≠ identical efficacy.
43,C,0.400,alopecia areata,fluocinolone acetonide,indication,IV-VI,1.3419,2.04,0.6576,0.5368,0.688,0.688,Type C: drug-class analogy from triamcinolone (class=D07A). Hypothesis only — class membership ≠ identical efficacy.
44,C,0.400,alopecia areata,mometasone furoate,indication,IV-VI,1.3419,2.04,0.6576,0.5368,0.688,0.688,Type C: drug-class analogy from triamcinolone (class=D07A). Hypothesis only — class membership ≠ identical efficacy.
45,C,0.400,alopecia areata,calcipotriol,off-label use,IV-VI,1.3419,2.04,0.6576,0.5368,0.688,0.688,Type C: drug-class analogy from anthralin (class=D05A). Hypothesis only — class membership ≠ identical efficacy.
46,C,0.400,alopecia areata,tazarotene,off-label use,IV-VI,1.3419,2.04,0.6576,0.5368,0.688,0.688,Type C: drug-class analogy from anthralin (class=D05A). Hypothesis only — class membership ≠ identical efficacy.
47,C,0.400,alopecia areata,acitretin,off-label use,IV-VI,1.3419,2.04,0.6576,0.5368,0.688,0.688,Type C: drug-class analogy from methoxsalen (class=D05B). Hypothesis only — class membership ≠ identical efficacy.
48,C,0.400,alopecia areata,trioxsalen,off-label use,IV-VI,1.3419,2.04,0.6576,0.5368,0.688,0.688,Type C: drug-class analogy from methoxsalen (class=D05B). Hypothesis only — class membership ≠ identical efficacy.
49,C,0.400,contact dermatitis,fumaric acid,indication,IV-VI,1.3419,1.00,1.3419,0.5368,0.688,0.688,Type C: drug-class analogy from amcinonide (class=). Hypothesis only — class membership ≠ identical efficacy.
50,C,0.400,contact dermatitis,vancomycin,indication,IV-VI,1.3419,1.00,1.3419,0.5368,0.688,0.688,Type C: drug-class analogy from amcinonide (class=). Hypothesis only — class membership ≠ identical efficacy.
51,C,0.400,contact dermatitis,diiodohydroxyquinoline,indication,IV-VI,1.3419,1.00,1.3419,0.5368,0.688,0.688,Type C: drug-class analogy from amcinonide (class=). Hypothesis only — class membership ≠ identical efficacy.
52,C,0.400,contact dermatitis,tripelennamine,indication,IV-VI,1.3419,1.00,1.3419,0.5368,0.688,0.688,Type C: drug-class analogy from amcinonide (class=). Hypothesis only — class membership ≠ identical efficacy.
53,C,0.400,contact dermatitis,fumaric acid,off-label use,IV-VI,1.3419,1.00,1.3419,0.5368,0.688,0.688,Type C: drug-class analogy from diiodohydroxyquinoline (class=). Hypothesis only — class membership ≠ identical efficacy.
54,C,0.400,contact dermatitis,amcinonide,off-label use,IV-VI,1.3419,1.00,1.3419,0.5368,0.688,0.688,Type C: drug-class analogy from diiodohydroxyquinoline (class=). Hypothesis only — class membership ≠ identical efficacy.
55,C,0.400,contact dermatitis,vancomycin,off-label use,IV-VI,1.3419,1.00,1.3419,0.5368,0.688,0.688,Type C: drug-class analogy from diiodohydroxyquinoline (class=). Hypothesis only — class membership ≠ identical efficacy.
56,C,0.400,contact dermatitis,tripelennamine,off-label use,IV-VI,1.3419,1.00,1.3419,0.5368,0.688,0.688,Type C: drug-class analogy from diiodohydroxyquinoline (class=). Hypothesis only — class membership ≠ identical efficacy.
57,C,0.400,epidermolysis bullosa,fusidic acid,off-label use,IV-VI,1.3419,2.50,0.5368,0.5368,0.688,0.688,Type C: drug-class analogy from mupirocin (class=D06A). Hypothesis only — class membership ≠ identical efficacy.
58,C,0.400,erythema multiforme,fluticasone propionate,indication,IV-VI,1.3419,1.23,1.0870,0.5368,0.688,0.688,Type C: drug-class analogy from betamethasone (class=D07A). Hypothesis only — class membership ≠ identical efficacy.
59,C,0.400,erythema multiforme,fluocinolone acetonide,indication,IV-VI,1.3419,1.23,1.0870,0.5368,0.688,0.688,Type C: drug-class analogy from betamethasone (class=D07A). Hypothesis only — class membership ≠ identical efficacy.
60,C,0.400,erythema multiforme,mometasone furoate,indication,IV-VI,1.3419,1.23,1.0870,0.5368,0.688,0.688,Type C: drug-class analogy from betamethasone (class=D07A). Hypothesis only — class membership ≠ identical efficacy.
61,C,0.400,folliculitis,mupirocin,indication,IV-VI,1.3419,1.00,1.3419,0.5368,0.688,0.688,Type C: drug-class analogy from fusidic acid (class=D06A). Hypothesis only — class membership ≠ identical efficacy.
62,C,0.400,folliculitis,fusidic acid,off-label use,IV-VI,1.3419,1.00,1.3419,0.5368,0.688,0.688,Type C: drug-class analogy from mupirocin (class=D06A). Hypothesis only — class membership ≠ identical efficacy.
63,C,0.400,granuloma annulare,fumaric acid,indication,IV-VI,1.3419,1.19,1.1272,0.5368,0.688,0.688,Type C: drug-class analogy from amcinonide (class=). Hypothesis only — class membership ≠ identical efficacy.
64,C,0.400,granuloma annulare,vancomycin,indication,IV-VI,1.3419,1.19,1.1272,0.5368,0.688,0.688,Type C: drug-class analogy from amcinonide (class=). Hypothesis only — class membership ≠ identical efficacy.
65,C,0.400,granuloma annulare,diiodohydroxyquinoline,indication,IV-VI,1.3419,1.19,1.1272,0.5368,0.688,0.688,Type C: drug-class analogy from amcinonide (class=). Hypothesis only — class membership ≠ identical efficacy.
66,C,0.400,granuloma annulare,tripelennamine,indication,IV-VI,1.3419,1.19,1.1272,0.5368,0.688,0.688,Type C: drug-class analogy from amcinonide (class=). Hypothesis only — class membership ≠ identical efficacy.
67,C,0.400,granuloma annulare,azelaic acid,indication,IV-VI,1.3419,1.19,1.1272,0.5368,0.688,0.688,Type C: drug-class analogy from benzoyl peroxide (class=D10A). Hypothesis only — class membership ≠ identical efficacy.
68,C,0.400,granuloma annulare,erythromycin,indication,IV-VI,1.3419,1.19,1.1272,0.5368,0.688,0.688,Type C: drug-class analogy from benzoyl peroxide (class=D10A). Hypothesis only — class membership ≠ identical efficacy.
69,C,0.400,granuloma annulare,tretinoin,indication,IV-VI,1.3419,1.19,1.1272,0.5368,0.688,0.688,Type C: drug-class analogy from benzoyl peroxide (class=D10A). Hypothesis only — class membership ≠ identical efficacy.
70,C,0.400,granuloma annulare,clindamycin,indication,IV-VI,1.3419,1.19,1.1272,0.5368,0.688,0.688,Type C: drug-class analogy from benzoyl peroxide (class=D10A). Hypothesis only — class membership ≠ identical efficacy.
71,C,0.400,granuloma annulare,hydrocortisone acetate,indication,IV-VI,1.3419,1.19,1.1272,0.5368,0.688,0.688,Type C: drug-class analogy from betamethasone (class=D07A). Hypothesis only — class membership ≠ identical efficacy.
72,C,0.400,granuloma annulare,prednisone,indication,IV-VI,1.3419,1.19,1.1272,0.5368,0.688,0.688,Type C: drug-class analogy from cortisone acetate (class=H02A). Hypothesis only — class membership ≠ identical efficacy.
73,C,0.400,herpes zoster,fumaric acid,indication,IV-VI,1.3419,3.45,0.3892,0.5368,0.688,0.688,Type C: drug-class analogy from amenamevir (class=). Hypothesis only — class membership ≠ identical efficacy.
74,C,0.400,herpes zoster,amcinonide,indication,IV-VI,1.3419,3.45,0.3892,0.5368,0.688,0.688,Type C: drug-class analogy from amenamevir (class=). Hypothesis only — class membership ≠ identical efficacy.
75,C,0.400,herpes zoster,vancomycin,indication,IV-VI,1.3419,3.45,0.3892,0.5368,0.688,0.688,Type C: drug-class analogy from amenamevir (class=). Hypothesis only — class membership ≠ identical efficacy.
76,C,0.400,herpes zoster,diiodohydroxyquinoline,indication,IV-VI,1.3419,3.45,0.3892,0.5368,0.688,0.688,Type C: drug-class analogy from amenamevir (class=). Hypothesis only — class membership ≠ identical efficacy.
77,C,0.400,herpes zoster,tripelennamine,indication,IV-VI,1.3419,3.45,0.3892,0.5368,0.688,0.688,Type C: drug-class analogy from amenamevir (class=). Hypothesis only — class membership ≠ identical efficacy.
78,C,0.400,keloid,hydrocortisone acetate,indication,IV-VI,1.3419,1.02,1.3151,0.5368,0.688,0.688,Type C: drug-class analogy from dexamethasone (class=D07A). Hypothesis only — class membership ≠ identical efficacy.
79,C,0.400,keloid,fluticasone propionate,indication,IV-VI,1.3419,1.02,1.3151,0.5368,0.688,0.688,Type C: drug-class analogy from dexamethasone (class=D07A). Hypothesis only — class membership ≠ identical efficacy.
80,C,0.400,keloid,fluocinolone acetonide,indication,IV-VI,1.3419,1.02,1.3151,0.5368,0.688,0.688,Type C: drug-class analogy from dexamethasone (class=D07A). Hypothesis only — class membership ≠ identical efficacy.
81,C,0.400,keloid,mometasone furoate,indication,IV-VI,1.3419,1.02,1.3151,0.5368,0.688,0.688,Type C: drug-class analogy from dexamethasone (class=D07A). Hypothesis only — class membership ≠ identical efficacy.
82,C,0.400,keloid,fumaric acid,indication,IV-VI,1.3419,1.02,1.3151,0.5368,0.688,0.688,Type C: drug-class analogy from tranilast (class=). Hypothesis only — class membership ≠ identical efficacy.
83,C,0.400,keloid,amcinonide,indication,IV-VI,1.3419,1.02,1.3151,0.5368,0.688,0.688,Type C: drug-class analogy from tranilast (class=). Hypothesis only — class membership ≠ identical efficacy.
84,C,0.400,keloid,vancomycin,indication,IV-VI,1.3419,1.02,1.3151,0.5368,0.688,0.688,Type C: drug-class analogy from tranilast (class=). Hypothesis only — class membership ≠ identical efficacy.
85,C,0.400,keloid,diiodohydroxyquinoline,indication,IV-VI,1.3419,1.02,1.3151,0.5368,0.688,0.688,Type C: drug-class analogy from tranilast (class=). Hypothesis only — class membership ≠ identical efficacy.
86,C,0.400,keloid,tripelennamine,indication,IV-VI,1.3419,1.02,1.3151,0.5368,0.688,0.688,Type C: drug-class analogy from tranilast (class=). Hypothesis only — class membership ≠ identical efficacy.
87,C,0.400,langerhans cell histiocytosis,fumaric acid,indication,IV-VI,1.3419,6.25,0.2147,0.5368,0.688,0.688,Type C: drug-class analogy from carmustine (class=). Hypothesis only — class membership ≠ identical efficacy.
88,C,0.400,langerhans cell histiocytosis,amcinonide,indication,IV-VI,1.3419,6.25,0.2147,0.5368,0.688,0.688,Type C: drug-class analogy from carmustine (class=). Hypothesis only — class membership ≠ identical efficacy.
89,C,0.400,langerhans cell histiocytosis,vancomycin,indication,IV-VI,1.3419,6.25,0.2147,0.5368,0.688,0.688,Type C: drug-class analogy from carmustine (class=). Hypothesis only — class membership ≠ identical efficacy.
90,C,0.400,langerhans cell histiocytosis,diiodohydroxyquinoline,indication,IV-VI,1.3419,6.25,0.2147,0.5368,0.688,0.688,Type C: drug-class analogy from carmustine (class=). Hypothesis only — class membership ≠ identical efficacy.
91,C,0.400,langerhans cell histiocytosis,tripelennamine,indication,IV-VI,1.3419,6.25,0.2147,0.5368,0.688,0.688,Type C: drug-class analogy from carmustine (class=). Hypothesis only — class membership ≠ identical efficacy.
92,C,0.400,langerhans cell histiocytosis,risankizumab,indication,IV-VI,1.3419,6.25,0.2147,0.5368,0.688,0.688,Type C: drug-class analogy from methotrexate (class=L04A). Hypothesis only — class membership ≠ identical efficacy.
93,C,0.400,langerhans cell histiocytosis,ustekinumab,indication,IV-VI,1.3419,6.25,0.2147,0.5368,0.688,0.688,Type C: drug-class analogy from methotrexate (class=L04A). Hypothesis only — class membership ≠ identical efficacy.
94,C,0.400,langerhans cell histiocytosis,adalimumab,indication,IV-VI,1.3419,6.25,0.2147,0.5368,0.688,0.688,Type C: drug-class analogy from methotrexate (class=L04A). Hypothesis only — class membership ≠ identical efficacy.
95,C,0.400,langerhans cell histiocytosis,cemiplimab,indication,IV-VI,1.3419,6.25,0.2147,0.5368,0.688,0.688,Type C: drug-class analogy from rituximab (class=L01F). Hypothesis only — class membership ≠ identical efficacy.
96,C,0.400,langerhans cell histiocytosis,fluorouracil,off-label use,IV-VI,1.3419,6.25,0.2147,0.5368,0.688,0.688,Type C: drug-class analogy from cladribine (class=L01B). Hypothesis only — class membership ≠ identical efficacy.
97,C,0.400,lichen planus,hydrocortisone acetate,indication,IV-VI,1.3419,1.00,1.3419,0.5368,0.688,0.688,Type C: drug-class analogy from triamcinolone (class=D07A). Hypothesis only — class membership ≠ identical efficacy.
98,C,0.400,lichen planus,dexamethasone,indication,IV-VI,1.3419,1.00,1.3419,0.5368,0.688,0.688,Type C: drug-class analogy from triamcinolone (class=D07A). Hypothesis only — class membership ≠ identical efficacy.
99,C,0.400,lichen planus,fluticasone propionate,indication,IV-VI,1.3419,1.00,1.3419,0.5368,0.688,0.688,Type C: drug-class analogy from triamcinolone (class=D07A). Hypothesis only — class membership ≠ identical efficacy.
100,C,0.400,lichen planus,fluocinolone acetonide,indication,IV-VI,1.3419,1.00,1.3419,0.5368,0.688,0.688,Type C: drug-class analogy from triamcinolone (class=D07A). Hypothesis only — class membership ≠ identical efficacy.
101,C,0.400,lichen planus,mometasone furoate,indication,IV-VI,1.3419,1.00,1.3419,0.5368,0.688,0.688,Type C: drug-class analogy from triamcinolone (class=D07A). Hypothesis only — class membership ≠ identical efficacy.
102,C,0.400,lichen planus,trioxsalen,off-label use,IV-VI,1.3419,1.00,1.3419,0.5368,0.688,0.688,Type C: drug-class analogy from acitretin (class=D05B). Hypothesis only — class membership ≠ identical efficacy.
103,C,0.400,lichen planus,fumaric acid,off-label use,IV-VI,1.3419,1.00,1.3419,0.5368,0.688,0.688,Type C: drug-class analogy from etretinate (class=). Hypothesis only — class membership ≠ identical efficacy.
104,C,0.400,lichen planus,amcinonide,off-label use,IV-VI,1.3419,1.00,1.3419,0.5368,0.688,0.688,Type C: drug-class analogy from etretinate (class=). Hypothesis only — class membership ≠ identical efficacy.
105,C,0.400,lichen planus,vancomycin,off-label use,IV-VI,1.3419,1.00,1.3419,0.5368,0.688,0.688,Type C: drug-class analogy from etretinate (class=). Hypothesis only — class membership ≠ identical efficacy.
106,C,0.400,lichen planus,diiodohydroxyquinoline,off-label use,IV-VI,1.3419,1.00,1.3419,0.5368,0.688,0.688,Type C: drug-class analogy from etretinate (class=). Hypothesis only — class membership ≠ identical efficacy.
107,C,0.400,lichen planus,tripelennamine,off-label use,IV-VI,1.3419,1.00,1.3419,0.5368,0.688,0.688,Type C: drug-class analogy from etretinate (class=). Hypothesis only — class membership ≠ identical efficacy.
108,C,0.400,lupus erythematosus,fumaric acid,indication,IV-VI,1.3419,1.00,1.3419,0.5368,0.688,0.688,Type C: drug-class analogy from amcinonide (class=). Hypothesis only — class membership ≠ identical efficacy.
109,C,0.400,lupus erythematosus,vancomycin,indication,IV-VI,1.3419,1.00,1.3419,0.5368,0.688,0.688,Type C: drug-class analogy from amcinonide (class=). Hypothesis only — class membership ≠ identical efficacy.
110,C,0.400,lupus erythematosus,diiodohydroxyquinoline,indication,IV-VI,1.3419,1.00,1.3419,0.5368,0.688,0.688,Type C: drug-class analogy from amcinonide (class=). Hypothesis only — class membership ≠ identical efficacy.
111,C,0.400,lupus erythematosus,tripelennamine,indication,IV-VI,1.3419,1.00,1.3419,0.5368,0.688,0.688,Type C: drug-class analogy from amcinonide (class=). Hypothesis only — class membership ≠ identical efficacy.
112,C,0.400,lupus erythematosus,hydrocortisone acetate,indication,IV-VI,1.3419,1.00,1.3419,0.5368,0.688,0.688,Type C: drug-class analogy from betamethasone (class=D07A). Hypothesis only — class membership ≠ identical efficacy.
113,C,0.400,lupus erythematosus,prednisone,indication,IV-VI,1.3419,1.00,1.3419,0.5368,0.688,0.688,Type C: drug-class analogy from cortisone acetate (class=H02A). Hypothesis only — class membership ≠ identical efficacy.
114,C,0.400,lupus erythematosus,fumaric acid,off-label use,IV-VI,1.3419,1.00,1.3419,0.5368,0.688,0.688,Type C: drug-class analogy from quinacrine (class=). Hypothesis only — class membership ≠ identical efficacy.
115,C,0.400,lupus erythematosus,amcinonide,off-label use,IV-VI,1.3419,1.00,1.3419,0.5368,0.688,0.688,Type C: drug-class analogy from quinacrine (class=). Hypothesis only — class membership ≠ identical efficacy.
116,C,0.400,lupus erythematosus,vancomycin,off-label use,IV-VI,1.3419,1.00,1.3419,0.5368,0.688,0.688,Type C: drug-class analogy from quinacrine (class=). Hypothesis only — class membership ≠ identical efficacy.
117,C,0.400,lupus erythematosus,diiodohydroxyquinoline,off-label use,IV-VI,1.3419,1.00,1.3419,0.5368,0.688,0.688,Type C: drug-class analogy from quinacrine (class=). Hypothesis only — class membership ≠ identical efficacy.
118,C,0.400,lupus erythematosus,tripelennamine,off-label use,IV-VI,1.3419,1.00,1.3419,0.5368,0.688,0.688,Type C: drug-class analogy from quinacrine (class=). Hypothesis only — class membership ≠ identical efficacy.
119,C,0.400,lyme disease,cefotaxime,indication,IV-VI,1.3419,3.85,0.3489,0.5368,0.688,0.688,Type C: drug-class analogy from cefuroxime (class=J01D). Hypothesis only — class membership ≠ identical efficacy.
120,C,0.400,lyme disease,ceftriaxone,indication,IV-VI,1.3419,3.85,0.3489,0.5368,0.688,0.688,Type C: drug-class analogy from cefuroxime (class=J01D). Hypothesis only — class membership ≠ identical efficacy.
121,C,0.400,lyme disease,procaine benzylpenicillin,off-label use,IV-VI,1.3419,3.85,0.3489,0.5368,0.688,0.688,Type C: drug-class analogy from amoxicillin (class=J01C). Hypothesis only — class membership ≠ identical efficacy.
122,C,0.400,lyme disease,cefuroxime,off-label use,IV-VI,1.3419,3.85,0.3489,0.5368,0.688,0.688,Type C: drug-class analogy from cefotaxime (class=J01D). Hypothesis only — class membership ≠ identical efficacy.
123,C,0.400,lyme disease,meclocycline,off-label use,IV-VI,1.3419,3.85,0.3489,0.5368,0.688,0.688,Type C: drug-class analogy from doxycycline (class=J01A). Hypothesis only — class membership ≠ identical efficacy.
124,C,0.400,lyme disease,minocycline,off-label use,IV-VI,1.3419,3.85,0.3489,0.5368,0.688,0.688,Type C: drug-class analogy from doxycycline (class=J01A). Hypothesis only — class membership ≠ identical efficacy.
125,C,0.400,lyme disease,demeclocycline,off-label use,IV-VI,1.3419,3.85,0.3489,0.5368,0.688,0.688,Type C: drug-class analogy from doxycycline (class=J01A). Hypothesis only — class membership ≠ identical efficacy.
126,C,0.400,lyme disease,tetracycline,off-label use,IV-VI,1.3419,3.85,0.3489,0.5368,0.688,0.688,Type C: drug-class analogy from doxycycline (class=J01A). Hypothesis only — class membership ≠ identical efficacy.
127,C,0.400,lyme disease,mupirocin,off-label use,IV-VI,1.3419,3.85,0.3489,0.5368,0.688,0.688,Type C: drug-class analogy from fusidic acid (class=D06A). Hypothesis only — class membership ≠ identical efficacy.
128,C,0.400,lymphangioma,fumaric acid,indication,IV-VI,1.3419,2.78,0.4831,0.5368,0.688,0.688,Type C: drug-class analogy from propranolol (class=). Hypothesis only — class membership ≠ identical efficacy.
129,C,0.400,lymphangioma,amcinonide,indication,IV-VI,1.3419,2.78,0.4831,0.5368,0.688,0.688,Type C: drug-class analogy from propranolol (class=). Hypothesis only — class membership ≠ identical efficacy.
